21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Add-RKSJ-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/78-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Ext-RKSJ-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UCS2-90ms-RKSJ
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniHojo-UTF32-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS-UTF16-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJISX02132004-UTF32-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Adobe-Japan1-PS-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/Add-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJISPro-UCS2-HW-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/UniJIS2004-UTF16-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90ms-RKSJ-UCS2
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/90ms-RKSJ-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-japan1/83pv-RKSJ-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-UCS2
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCpc-EUC-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCpc-EUC-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UTF32-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-H-CID
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCms-UHC-HW-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UTF16-V
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UCS2-KSCpc-EUC
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCms-UHC-H
21 Oct 2018 14:58:39,444 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSC-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCpc-EUC-UCS2
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSC-EUC-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UCS2-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCpc-EUC-UCS2C
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-KSCpc-EUC
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCms-UHC-HW-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-1
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UCS2-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UTF32-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSC-Johab-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-H-Host
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-KSCms-UHC
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-2
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSC-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-H-Mac
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UTF16-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/Adobe-Korea1-0
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UTF8-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UniKS-UTF8-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSC-EUC-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCms-UHC-UCS2
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSC-Johab-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/UCS2-KSCms-UHC
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-korea1/KSCms-UHC-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/Identity-V
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKgccs-B5-H
21 Oct 2018 14:58:39,445 main - checkFontfile check /usr/share/fonts/cmap/adobe-cns1/HKm314-B5-H
